Part,Color,Quantity,Notes,Location,IsUsed,IsStickered
30361c,0,6,,7 - Box Technic Brick | Round brick,False,False
98286,0,2,,7 - Jewelry Technic Link|Rotation|Hinge|Brick,False,False
24122,0,2,,,,
11458,0,6,,7 - Box Technic Brick w Pin|Plate w Hole,False,False
18677,0,5,,7 - Box Technic Brick w Pin|Plate w Hole,False,False
10247,0,10,,7 - Box Technic Brick w Pin|Plate w Hole,False,False
2444,0,1,,7 - Box Technic Brick w Pin|Plate w Hole,False,False
2817,0,30,,7 - Box Technic Brick w Pin|Plate w Hole,False,False
26599,0,1,,7 - Box Technic Brick w Pin|Plate w Hole,False,False
4697b,0,16,,7 - Jewelry Technic Ball|Gear|Pneumatics,False,False
3737,0,7,,7 - Box L Technic Axle,False,False
3708,0,5,,7 - Box L Technic Axle,False,False
6553,0,13,,7 - Jewelry Technic Axle and Pin Connector,False,False
3704,0,1,,7 - Box L Technic Axle,False,False
32062,0,24,,7 - Box L Technic Axle,False,False
4519,0,19,,7 - Box L Technic Axle,False,False
3705,0,27,,7 - Box L Technic Axle,False,False
32073,0,4,,7 - Box L Technic Axle,False,False
3706,0,27,,7 - Box L Technic Axle,False,False
3707,0,11,,7 - Box L Technic Axle,False,False
32013,0,5,,7 - Jewelry Technic Axle and Pin Connector,False,False
32034,0,1,,7 - Jewelry Technic Axle and Pin Connector,False,False
32016,0,1,,7 - Jewelry Technic Axle and Pin Connector,False,False
32192,0,2,,7 - Jewelry Technic Axle and Pin Connector,False,False
32014,0,3,,7 - Jewelry Technic Axle and Pin Connector,False,False
6536,0,7,,7 - Jewelry Technic Axle and Pin Connector,False,False
42003,0,1,,7 - Jewelry Technic Axle and Pin Connector,False,False
32184,0,1,,7 - Jewelry Technic Axle and Pin Connector,False,False
69819,0,2,,7 - Jewelry Technic Axle and Pin Connector,False,False
92907,0,1,,7 - Jewelry Technic Axle and Pin Connector,False,False
63869,0,4,,7 - Jewelry Technic Axle and Pin Connector,False,False
45590,0,4,,7 - Jewelry Technic Ball|Gear|Pneumatics,False,False
59443,0,12,,7 - Jewelry Technic Axle and Pin Connector,False,False
32039,0,5,,7 - Jewelry Technic Axle and Pin Connector,False,False
18651,0,12,,7 - Jewelry Technic Pin large,False,False
43093,0,1,,7 - Jewelry Technic Pin small|Axle Pin,False,False
32474,0,4,,7 - Jewelry Technic Ball|Gear|Pneumatics,False,False
53585,0,5,,7 - Jewelry Technic Ball|Gear|Pneumatics,False,False
32009,0,1,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
32525,0,1,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
41239,0,7,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
43857,0,5,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
60483,0,13,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
41677,0,2,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
32523,0,9,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
6632,0,13,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
32449,0,8,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
2825,0,4,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
32316,0,4,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
32017,0,1,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
11478,0,1,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
32063,0,4,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
32524,0,1,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
6629,0,2,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
32271,0,3,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
40490,0,2,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
32140,0,9,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
33299b,0,4,,7 - Jewelry Technic Axle and Pin Connector,False,False
32056,0,6,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
60484,0,2,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
32526,0,2,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
32250,0,2,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
2905,0,3,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
2730,0,3,,7 - Box Technic Brick | Round brick,False,False
3895,0,3,,7 - Box Technic Brick | Round brick,False,False
6541,0,3,,7 - Box Technic Brick | Round brick,False,False
3700,0,19,,7 - Box Technic Brick | Round brick,False,False
32000,0,3,,7 - Box Technic Brick | Round brick,False,False
32064a,0,12,,7 - Box Technic Brick | Round brick,False,False
32064c,0,2,,7 - Box Technic Brick | Round brick,False,False
3701,0,29,,7 - Box Technic Brick | Round brick,False,False
3894,0,1,,7 - Box Technic Brick | Round brick,False,False
3702,0,5,,7 - Box Technic Brick | Round brick,False,False
32531,0,2,,7 - Box Technic Brick | Round brick,False,False
32532,0,1,,7 - Box Technic Brick | Round brick,False,False
3713,0,4,,7 - Jewelry Technic Bush,False,False
6575,0,1,,7 - Jewelry Technic Ball|Gear|Pneumatics,False,False
39793,0,2,,7 - Box Technic Beam|Liftarm Thin|Thick,False,False
32175,0,1,,7 - Jewelry Technic Pin Connector,False,False
2723,0,2,,7 - Jewelry Technic Ball|Gear|Pneumatics,False,False
32187,0,2,,7 - Jewelry Technic Ball|Gear|Pneumatics,False,False
32270,0,10,,7 - Box L Technic Gears,False,False
18575,0,6,,7 - Box L Technic Gears,False,False
32072,0,11,,7 - Jewelry Technic Ball|Gear|Pneumatics,False,False
32293,0,1,,7 - Jewelry Technic Link|Rotation|Hinge|Brick,False,False
14696,0,1,,7 - Jewelry Technic Link|Rotation|Hinge|Brick,False,False
3873,0,8,,,,
15461,0,2,,7 - Jewelry Technic Pin Connector,False,False
85940,0,4,,7 - Jewelry Technic Pin Connector,False,False
15100,0,5,,7 - Jewelry Technic Pin Connector,False,False
65487,0,1,,7 - Jewelry Technic Pin Connector,False,False
87082,0,1,,7 - Jewelry Technic Pin Connector,False,False
11455,0,3,,,,
