Part,Color,Quantity,Notes,Location,IsUsed,IsStickered
3957b,0,7,,2 - Bin drawer Antenna|Bars,False,False
3957a,0,3,,2 - Bin drawer Antenna|Bars,False,False
2569,0,6,,2 - Bin drawer Antenna|Bars,False,False
48729b,0,29,,2 - Bin drawer Holder|Clip|Pin,False,False
30359b,0,3,,2 - Bin drawer Bars special,False,False
78258,0,4,,2 - Bin drawer Towball|Ring|Bars|Studs side,False,False
87994,0,29,,2 - Bin drawer Bars small,False,False
30374,0,21,,2 - Bin drawer Bars small,False,False
87618,0,2,,2 - Bin drawer Antenna|Bars,False,False
63965,0,9,,2 - Bin drawer Antenna|Bars,False,False
2714b,0,2,,2 - Bin drawer Antenna|Bars,False,False
65578,0,1,,2 - Bin drawer Towball|Ring|Bars|Studs side,False,False
11090,0,18,,2 - Bin drawer Holder|Clip|Pin,False,False
23443,0,1,,2 - Bin drawer Holder|Clip|Pin,False,False
36840,0,19,,2 - Box Brackets inverted,False,False
73825,0,4,,2 - Box Brackets inverted,False,False
99781,0,15,,2 - Box Brackets,False,False
99780,0,41,,2 - Box Brackets inverted,False,False
10201,0,3,,2 - Box Brackets,False,False
28802,0,10,,2 - Box Brackets,False,False
2436,0,6,,2 - Box Brackets,False,False
44728,0,39,,2 - Box Brackets,False,False
99207,0,32,,2 - Box Brackets inverted,False,False
93274,0,6,,2 - Box Brackets,False,False
3956,0,5,,2 - Bin drawer Brackets,False,False
41682,0,3,,2 - Bin drawer Brackets,False,False
4733,0,5,,2 - Bin drawer Brick studs 2|4 sides,False,False
60476,0,8,,2 - Bin drawer Brick clip,False,False
60475b,0,6,,2 - Bin drawer Brick clip,False,False
60475a,0,7,,2 - Bin drawer Brick clip,False,False
2921,0,12,,2 - Box Handles,False,False
4070,0,16,,2 - Bin drawer Brick stud 1 side,False,False
87087,0,15,,2 - Bin drawer Brick stud 1 side,False,False
47905,0,10,,2 - Bin drawer Brick studs 2|4 sides,False,False
32952,0,9,,2 - Box Bricks side studs,False,False
11211,0,9,,2 - Box Bricks side studs,False,False
30236,0,3,,2 - Box Handles,False,False
52107,0,9,,2 - Box Bricks side studs,False,False
30237b,0,2,,2 - Bin drawer Brick clip,False,False
67329,0,21,,2 - Box Bricks side studs,False,False
4595,0,4,,2 - Bin drawer Towball|Ring|Bars|Studs side,False,False
30414,0,15,,2 - Box Bricks side studs,False,False
18585,0,1,,,,
11055,0,2,,2 - Bin drawer Flags|Road sign,False,False
44676,0,4,,2 - Bin drawer Flags|Road sign,False,False
2525,0,1,,2 - Bin drawer Flags|Road sign,False,False
30292,0,1,,2 - Bin drawer Flags|Road sign,False,False
