Part,Color,Quantity,Notes,Location,IsUsed,IsStickered
87616,0,1,,5 - Bag Fuselage,False,False
37494,0,1,,,False,False
95354,0,1,,5 - Bin drawer Steering|Lever|Anchor,False,False
47404,0,1,,5 - Bag Fuselage,False,False
4844,0,1,,5 - Bag Canoe|Construction bucket|Crane,False,False
2537a,0,1,,5 - Bag Canoe|Construction bucket|Crane,False,False
2538a,0,2,,5 - Bag Canoe|Construction bucket|Crane,False,False
4598,0,3,,5 - Box Mudguards|Vehicle base|Bracket,False,False
11215,0,11,,5 - Box Mudguards|Vehicle base|Bracket,False,False
76766,0,4,,5 - Box Mudguards|Vehicle base|Bracket,False,False
4732,0,2,,5 - Box Mudguards|Vehicle base|Bracket,False,False
3137c01,0,9,,5 - Box L Bag Vintage Wheels,False,False
4180c02,0,1,,5 - Box L Bag Vintage Wheels,False,False
18892,0,6,,5 - Box L Bag Wheel Holder Pins,False,False
21709,0,1,,5 - Bag Canoe|Construction bucket|Crane,False,False
3314,0,1,,5 - Bag Canoe|Construction bucket|Crane,False,False
57779,0,1,,5 - Bag Canoe|Construction bucket|Crane,False,False
4868b,0,3,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
98302,0,1,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
35654,0,1,,5 - Bin drawer Steering|Lever|Anchor,False,False
50949,0,4,,5 - Bin drawer Air dynamic|Engine|Exhaust,False,False
30031,0,4,,5 - Bin drawer Steering|Lever|Anchor,False,False
30248,0,1,,5 - Bag Canoe|Construction bucket|Crane,False,False
14137,0,2,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
46667,0,1,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
298c02,0,17,,5 - Bin drawer Steering|Lever|Anchor,False,False
298c05,0,5,,5 - Bin drawer Steering|Lever|Anchor,False,False
298c01,0,1,,5 - Bin drawer Steering|Lever|Anchor,False,False
41854,0,3,,5 - Box Mudguards|Vehicle base|Bracket,False,False
21445,0,3,,5 - Box L Bag Wheel Holder Pins,False,False
61072,0,1,,5 - Bin drawer Air dynamic|Engine|Exhaust,False,False
2926,0,9,,5 - Box L Bag Wheel Holder Pins,False,False
62743,0,1,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
41862,0,2,,5 - Bin drawer Air dynamic|Engine|Exhaust,False,False
4488,0,18,,5 - Box L Bag Wheel Holder Pins,False,False
4600,0,19,,5 - Box L Bag Wheel Holder Pins,False,False
67687,0,6,,5 - Box L Bag Wheel Holder Pins,False,False
67688,0,12,,5 - Box L Bag Wheel Holder Pins,False,False
6157,0,27,,5 - Box L Bag Wheel Holder Pins,False,False
39767,0,4,,5 - Box L Bag Wheel Holder Pins,False,False
47720,0,6,,5 - Box L Bag Wheel Holder Pins,False,False
122c01,0,18,,5 - Box L Bag Vintage Wheels,False,False
122c02,0,1,,5 - Box L Bag Vintage Wheels,False,False
6041,0,5,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
4617b,0,2,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
30332,0,2,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
15790,0,1,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
92842,0,3,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
2421,0,2,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
67737,0,2,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
2479,0,2,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
64450,0,1,,5 - Box L Windcreen|Cockpit,False,False
30603,0,2,,5 - Bin drawer Air dynamic|Engine|Exhaust,False,False
4509,0,6,,5 - Bin drawer Roof|Cover|Wedge,False,False
44675,0,1,,5 - Bin drawer Air dynamic|Engine|Exhaust,False,False
98834,0,1,,5 - Bin drawer Air dynamic|Engine|Exhaust,False,False
3829c01,0,11,,5 - Bin drawer Steering wheel,False,False
30663,0,1,,5 - Bin drawer Steering|Lever|Anchor,False,False
16091,0,1,,5 - Bin drawer Steering|Lever|Anchor,False,False
2584,0,4,,5 - Bin drawer Doors | Hose,False,False
4208,0,2,,5 - Bin drawer Doors | Hose,False,False
28779,0,1,,5 - Box Fin|Jet engine|Propeller|Rotor,False,False
