Part,Color,Quantity,Notes,Location,IsUsed,IsStickered
3005,0,48,,1 - Box L Bricks 1x small,False,False
6111,0,2,,1 - Box Bricks 1x long,False,False
6112,0,7,,1 - Box Bricks 1x long,False,False
2465,0,1,,1 - Box Bricks 1x long,False,False
14716,0,2,,1 - Box Bricks tall|shorty,False,False
2453a,0,1,,1 - Box Bricks tall|shorty,False,False
3004,0,94,,1 - Box L Bricks 1x small,False,False
3245c,0,8,,1 - Box Bricks tall|shorty,False,False
2454b,0,6,,1 - Box Bricks tall|shorty,False,False
3622,0,9,,1 - Box L Bricks 1x small,False,False
3010,0,38,,1 - Box L Bricks 1x medium,False,False
3009,0,20,,1 - Box L Bricks 1x medium,False,False
3008,0,9,,1 - Box L Bricks 1x medium,False,False
3006,0,4,,1 - Bag Bricks 2x large,False,False
3003,0,33,,1 - Big Box Bricks 2x2|2x3|2x4,False,False
30145,0,1,,1 - Box Bricks tall|shorty,False,False
3002,0,23,,1 - Big Box Bricks 2x2|2x3|2x4,False,False
3001,0,47,,1 - Big Box Bricks 2x2|2x3|2x4,False,False
2456,0,11,,1 - Bag Bricks 2x large,False,False
3007,0,4,,1 - Bag Bricks 2x large,False,False
3005,1,38,,1 - Box L Bricks 1x small,False,False
6111,1,1,,1 - Box Bricks 1x long,False,False
3004,1,52,,1 - Box L Bricks 1x small,False,False
3004pr9981,1,1,,1 - Box Plates special|Bricks printed,False,False
2454b,1,5,,1 - Box Bricks tall|shorty,False,False
3622,1,22,,1 - Box L Bricks 1x small,False,False
3010,1,30,,1 - Box L Bricks 1x medium,False,False
3010apr0004,1,1,,1 - Box Plates special|Bricks printed,False,False
3010apr0003,1,1,,1 - Box Plates special|Bricks printed,False,False
3009,1,8,,1 - Box L Bricks 1x medium,False,False
3008,1,11,,1 - Box L Bricks 1x medium,False,False
3006,1,1,,1 - Bag Bricks 2x large,False,False
3003,1,27,,1 - Big Box Bricks 2x2|2x3|2x4,False,False
3002,1,26,,1 - Big Box Bricks 2x2|2x3|2x4,False,False
3001,1,67,,1 - Big Box Bricks 2x2|2x3|2x4,False,False
2456,1,17,,1 - Bag Bricks 2x large,False,False
3007,1,8,,1 - Bag Bricks 2x large,False,False
3004,10,20,,1 - Box L Bricks 1x small,False,False
2456,10,2,,1 - Bag Bricks 2x large,False,False
3005,212,4,,1 - Box L Bricks 1x small,False,False
3622,212,4,,1 - Box L Bricks 1x small,False,False
3005,191,12,,1 - Box L Bricks 1x small,False,False
3004,191,18,,1 - Box L Bricks 1x small,False,False
3622,191,6,,1 - Box L Bricks 1x small,False,False
3010,191,4,,1 - Box L Bricks 1x medium,False,False
3009,191,4,,1 - Box L Bricks 1x medium,False,False
3001,191,14,,1 - Big Box Bricks 2x2|2x3|2x4,False,False
3005,226,10,,1 - Box L Bricks 1x small,False,False
14716,226,1,,1 - Box Bricks tall|shorty,False,False
3004,226,10,,1 - Box L Bricks 1x small,False,False
2454b,226,1,,1 - Box Bricks tall|shorty,False,False
3010,226,16,,1 - Box L Bricks 1x medium,False,False
