Part,Color,Quantity,Notes,Location,IsUsed,IsStickered
3068b,118,2,0 - Color Table,1 - Bin drawer Tile 2x2,False,False
6881b,118,1,,1 - Bin drawer Tiles 2x3|2x4|2x6|4x4|6x6,False,False
3024,0,80,,1 - Bin drawer Plate 1x1,False,False
4477,0,17,,1 - Box Plates 1x & 2x large,False,False
60479,0,5,,1 - Box Plates 1x & 2x large,False,False
3024pr0018,0,1,,1 - Bin drawer Tiles printed 1x | Plates printed 1x | Plate 1x5,False,False
3023,0,129,,1 - Box Plates 1x2|1x3,False,False
3623,0,40,,1 - Box Plates 1x2|1x3,False,False
3710,0,91,,1 - Box Plates 1x4|1x6,False,False
3666,0,62,,1 - Box Plates 1x4|1x6,False,False
3460,0,31,,1 - Box Plates 1x & 2x large,False,False
3832,0,20,0 - Color Table,1 - Box Plates 1x & 2x large,False,False
2445,0,3,,0 - Color Table,False,False
4282,0,4,,0 - Color Table,False,False
3022,0,80,0 - Color Table,1 - Box Plates 2x2|2x3,False,False
3021,0,48,,1 - Box Plates 2x2|2x3,False,False
3020,0,76,,1 - Box Plates 2x4 & 2x6,False,False
3795,0,33,,1 - Box Plates 2x4 & 2x6,False,False
3034,0,18,0 - Color Table,1 - Box Plates 1x & 2x large,False,False
11212,0,1,,1 - Box L Plates medium 1,False,False
3030,0,8,,1 - Box L Plates medium 1,False,False
3029,0,4,,1 - Box L Plates medium 1,False,False
3031,0,27,,1 - Box L Plates medium 1,False,False
3032,0,8,,1 - Box L Plates medium 1,False,False
3035,0,11,,1 - Box L Plates medium 1,False,False
3033,0,11,,1 - Box L Plates medium 2,False,False
3028,0,3,,1 - Bag Plates large,False,False
3027,0,1,,1 - Bag Plates large,False,False
3958,0,7,,1 - Box L Plates medium 2,False,False
3036,0,9,,1 - Box L Plates medium 2,False,False
41539,0,1,,1 - Box L Plates medium 2,False,False
92593,0,4,,1 - Box Plates special|Bricks printed,False,False
41740,0,1,,1 - Box Plates special|Bricks printed,False,False
33909,0,5,,1 - Box Plates special|Bricks printed,False,False
88646pr0003,0,1,,1 - Box Plates special|Bricks printed,False,False
88646,0,22,,1 - Box Plates special|Bricks printed,False,False
6179,0,2,,1 - Box Plates special|Bricks printed,False,False
6180,0,2,,1 - Box Plates special|Bricks printed,False,False
6178,0,1,,1 - Box Plates special|Bricks printed,False,False
3070b,0,35,,1 - Bin drawer Tile 1x1 & 1x2,False,False
3070bpr0245,0,1,,1 - Bin drawer Tiles printed 1x | Plates printed 1x | Plate 1x5,False,False
3070bpr0297,0,1,,1 - Bin drawer Tiles printed 1x | Plates printed 1x | Plate 1x5,False,False
3069b,0,44,,1 - Bin drawer Tile 1x1 & 1x2,False,False
3069bpr0189,0,1,,1 - Bin drawer Tiles printed 1x | Plates printed 1x | Plate 1x5,False,False
63864,0,5,,1 - Bin drawer Tile 1x3|Tiles inverted,False,False
2431,0,38,,1 - Bin drawer Tiles 1x4|1x6,False,False
6636,0,36,,1 - Bin drawer Tiles 1x4|1x6,False,False
4162,0,4,,1 - Bin drawer Tile 1x8,False,False
3068bpr9975,0,1,,1 - Bin drawer Tiles printed 2x,False,False
3068b,0,31,,1 - Bin drawer Tile 2x2,False,False
3068a,0,1,,1 - Bin drawer Tile 2x2,False,False
26603,0,4,,1 - Bin drawer Tiles 2x3|2x4|2x6|4x4|6x6,False,False
87079,0,23,,1 - Bin drawer Tiles 2x3|2x4|2x6|4x4|6x6,False,False
11203,0,1,,1 - Bin drawer Tile 1x3|Tiles inverted,False,False
3024,1,13,,1 - Bin drawer Plate 1x1,False,False
4477,1,1,,1 - Box Plates 1x & 2x large,False,False
3023,1,60,,1 - Box Plates 1x2|1x3,False,False
3623,1,12,,1 - Box Plates 1x2|1x3,False,False
3710,1,48,,1 - Box Plates 1x4|1x6,False,False
3666,1,13,,1 - Box Plates 1x4|1x6,False,False
3460,1,6,,1 - Box Plates 1x & 2x large,False,False
3832,1,3,,1 - Box Plates 1x & 2x large,False,False
2445,1,1,,1 - Box Plates 1x & 2x large,False,False
3022,1,16,0 - Color Table,1 - Box Plates 2x2|2x3,False,False
3021,1,25,,1 - Box Plates 2x2|2x3,False,False
3020,1,28,,1 - Box Plates 2x4 & 2x6,False,False
3795,1,7,,1 - Box Plates 2x4 & 2x6,False,False
3034,1,5,,1 - Box Plates 1x & 2x large,False,False
3030,1,4,,1 - Box L Plates medium 1,False,False
3029,1,2,,1 - Box L Plates medium 1,False,False
3031,1,9,,1 - Box L Plates medium 1,False,False
3032,1,3,,1 - Box L Plates medium 1,False,False
3035,1,3,,1 - Box L Plates medium 1,False,False
3033,1,1,,1 - Box L Plates medium 2,False,False
3028,1,1,,1 - Bag Plates large,False,False
3036,1,1,,1 - Box L Plates medium 2,False,False
6179,1,3,,1 - Box Plates special|Bricks printed,False,False
3070b,1,4,,1 - Bin drawer Tile 1x1 & 1x2,False,False
3069b,1,14,,1 - Bin drawer Tile 1x1 & 1x2,False,False
63864,1,4,,1 - Bin drawer Tile 1x3|Tiles inverted,False,False
2431,1,13,,1 - Bin drawer Tiles 1x4|1x6,False,False
6636,1,5,,1 - Bin drawer Tiles 1x4|1x6,False,False
3068b,1,9,,1 - Bin drawer Tile 2x2,False,False
87079pr0062,1,2,,1 - Bin drawer Tiles printed 2x,False,False
87079,1,9,,1 - Bin drawer Tiles 2x3|2x4|2x6|4x4|6x6,False,False
91405,10,1,,1 - Bag Plates large,False,False
3022,10,1,,0 - Color Table,False,False
3020,10,6,,1 - Box Plates 2x4 & 2x6,False,False
3031,10,2,,1 - Box L Plates medium 1,False,False
3028,10,1,,1 - Bag Plates large,False,False
3958,10,1,,1 - Box L Plates medium 2,False,False
3070b,10,3,,1 - Bin drawer Tile 1x1 & 1x2,False,False
3070bpr0190,10,1,,1 - Bin drawer Tiles printed 1x | Plates printed 1x | Plate 1x5,False,False
3069b,10,1,,1 - Bin drawer Tile 1x1 & 1x2,False,False
2431,10,3,,1 - Bin drawer Tiles 1x4|1x6,False,False
3068b,10,1,,1 - Bin drawer Tile 2x2,False,False
3068bpr9998,10,1,,1 - Bin drawer Tiles printed 2x,False,False
3024,212,4,,1 - Bin drawer Plate 1x1,False,False
3023,212,1,,0 - Color Table,False,False
3020,212,9,,1 - Box Plates 2x4 & 2x6,False,False
3069b,212,1,,1 - Bin drawer Tile 1x1 & 1x2,False,False
3024,191,24,,1 - Bin drawer Plate 1x1,False,False
3023,191,27,,1 - Box Plates 1x2|1x3,False,False
3623,191,4,,1 - Box Plates 1x2|1x3,False,False
3710,191,17,,1 - Box Plates 1x4|1x6,False,False
3666,191,9,,1 - Box Plates 1x4|1x6,False,False
3460,191,10,,1 - Box Plates 1x & 2x large,False,False
3022,191,18,0 - Color Table,1 - Box Plates 2x2|2x3,False,False
