Part,Color,Quantity,Notes,Location,IsUsed,IsStickered
4530,0,1,,6 - Bin drawer Hair|Gold bar|Tassel,False,False
36060,0,2,,6 - Bin drawer Hair|Gold bar|Tassel,False,False
21778,0,2,6 - Box Minifig partly completed,6 - Bin drawer Hair|Gold bar|Tassel,False,False
20877,0,1,,6 - Bin drawer Hair|Gold bar|Tassel,False,False
15427pr0001,0,1,,6 - Bin drawer Hair|Gold bar|Tassel,False,False
62711,0,2,,6 - Bin drawer Hair|Gold bar|Tassel,False,False
79688,0,1,,6 - Bin drawer Hair|Gold bar|Tassel,False,False
99930,0,1,,6 - Box Minifig partly completed,False,False
98385,0,1,,6 - Bin drawer Hair|Gold bar|Tassel,False,False
17630,0,1,,6 - Bin drawer Hair|Gold bar|Tassel,False,False
24791,0,1,,6 - Bin drawer Hair|Gold bar|Tassel,False,False
970c03,0,21,6 - Box Minifig partly completed,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c03pr1110,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c03pr9988,0,1,,6 - Box Minifig partly completed,False,False
970c03pr0879,0,2,6 - Box Minifig partly completed,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c03pr1600,0,1,,6 - Box Minifig partly completed,False,False
970c03pr9993,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c03pr0947,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c03pr0191,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c03pr0583,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c03pr9896,0,1,,6 - Box Minifig partly completed,False,False
970c03pr0861,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c03pr0889,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c03pr1081,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c03pr9782,0,1,,6 - Box Minifig partly completed,False,False
970c03pr9996,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c03pr0408,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c28pr0814,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c11pr0237,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c14,0,2,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c17,0,2,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c22,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970e04,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
41879a,0,1,,6 - Box Minifig partly completed,False,False
3626bpr0922,0,1,,6-B - Bin drawer Minifig Head,False,False
3626b,0,6,6 - Box Minifig partly completed,6-B - Bin drawer Minifig Head,False,False
3626c,0,2,,6-B - Bin drawer Minifig Head,False,False
3626cpr1129,0,1,,6-B - Bin drawer Minifig Head,False,False
3626cpr9984,0,2,6 - Box Minifig partly completed,6-B - Bin drawer Minifig Head,False,False
3626cpr3015,0,1,,6-B - Bin drawer Minifig Head,False,False
20600pat0001,0,1,,6-B - Bin drawer Minifig Head,False,False
6132,0,1,,6 - Box Minifig partly completed,False,False
15439,0,2,,6 - Jewelry Neckware,False,False
90398,0,2,,6-B - Jewely Nanofig,False,False
973c03h03pr4510,0,1,,6 - Box Minifig partly completed,False,False
973c03h03pr1961,0,1,,6 - Box Minifig partly completed,False,False
973c27h27pr3019,0,1,,6 - Box Minifig partly completed,False,False
973c03h02pr1861,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c03h01pr1184,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c03h03pr1751,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c03h03pr2916,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c03h02pr0300,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c03h01pr4291,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c03h27pr5196,0,1,,6 - Box Minifig partly completed,False,False
973c03h03pr2628,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c03h01pr1188,0,1,,6 - Box Minifig partly completed,False,False
973c03h12pr1186,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c03h01pr0079,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973f011pr4967,0,1,,6 - Box Minifig partly completed,False,False
973c24h02pr1355,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c03h03pr3032,0,1,,6 - Box Minifig partly completed,False,False
973c03h03pr3033,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c31h03pr9999,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c03h03pr1898,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
34609pr0002,0,2,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c03h01pr0022,0,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c27h01pr1192,0,1,,6 - Box Minifig partly completed,False,False
970c03,1,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
970c28,1,4,6 - Box Minifig partly completed,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
41879a,1,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c28h03pr2918,1,1,,6 - Box Minifig partly completed,False,False
973c05h28pr3201,1,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c29h27pr3277,1,1,,6 - Box Minifig partly completed,False,False
973c28h02pr2810,1,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c22h01pr0264,1,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
973c28h22pr2635,1,1,,6 - Box Minifig parts|Headwear|Minidoll parts|Textile,False,False
