Part,Color,Quantity,Notes,Location,IsUsed,IsStickered
30103,0,4,,6-A - Box Animal|Animal parts|Accessories,False,False
11089,0,1,,6-A - Jewelry Tooth|Horn|Member|Fin,False,False
87747,0,17,,6-A - Jewelry Tooth|Horn|Member|Fin,False,False
53451,0,13,,6-A - Jewelry Tooth|Horn|Member|Fin,False,False
15082,0,1,,6-A - Box Animal|Animal parts|Accessories,False,False
40384,0,2,,6-A - Box Animal|Animal parts|Accessories,False,False
13564,0,1,,6-A - Jewelry Tooth|Horn|Member|Fin,False,False
40378,0,2,,6-A - Jewelry Tooth|Horn|Member|Fin,False,False
2397,0,3,,6-A - Box Animal|Animal parts|Accessories,False,False
6128,0,2,,6-A - Box Animal|Animal parts|Accessories,False,False
6127,0,2,,6-A - Box Animal|Animal parts|Accessories,False,False
11100,0,1,,6-A - Box Animal|Animal parts|Accessories,False,False
30169,0,3,,6-A - Box Animal|Animal parts|Accessories,False,False
16770,0,8,,6-A - Box Animal|Animal parts|Accessories,False,False
55706,0,1,,6-A - Box Animal|Animal parts|Accessories,False,False
49668,0,16,,6-A - Box Bag Plate Tooth,False,False
15070,0,8,,6-A - Box Bag Plate Tooth,False,False
15208,0,3,,6-A - Box Bag Plate Tooth,False,False
27261,0,2,,6-A - Box Bag Plate Tooth,False,False
18395,0,2,,6-A - Jewelry Flame|Wave|Candle,False,False
4491a,1,2,,6-A - Box Animal|Animal parts|Accessories,False,False
4491b,1,1,,6-A - Box Animal|Animal parts|Accessories,False,False
64647,1,2,,6-A - Jewelry Headwear small|decoration,False,False
33051,10,2,,6-A - Jewelry Bag Food|Produce,False,False
33183,10,24,,6-A - Jewelry Bag Food|Produce,False,False
4727,10,10,,6-A - Box Plant|Tree,False,False
33291,10,25,,6-A - Bin drawer Flower,False,False
24866,10,70,,6-A - Bin drawer Flower,False,False
2417,10,3,,6-A - Box Plant|Tree,False,False
10884,10,2,,6-A - Box Plant|Tree,False,False
2518,10,4,,6-A - Box Plant|Tree,False,False
32607,10,35,,6-A - Box Plant|Tree,False,False
30093,10,2,,6-A - Box Plant|Tree,False,False
37695,10,4,,6-A - Box Plant|Tree,False,False
